company_id,year
ABB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIENSOL,"{'Mar 2018', 'Mar 2017', 'Mar 2015', 'Mar 2014', 'Mar 2020', 'Mar 2021', 'Mar 2022', 'Mar 2023', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2016'}"
ADANIENT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIGREEN,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIPORTS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIPOWER,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
AMBUJACEM,"{'Dec 2016', 'Dec 2019', 'Dec 2012', 'Mar 2023', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Sep 2024', 'Dec 2017', 'Dec 2021', 'Dec 2014', 'Mar 2024', 'Dec 2013'}"
APOLLOHOSP,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ASIANPAINT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ATGL,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'Mar 2024', 'Sep 2024'}"
AXISBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
BAJAJ-AUTO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJAJFINSV,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJAJHLDNG,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJFINANCE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BANKBARODA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
BEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BHARTIARTL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BHEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BOSCHLTD,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Dec 2013', 'Mar 2017'}"
BPCL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BRITANNIA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
CANBK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
CHOLAFIN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
CIPLA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
COALINDIA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DABUR,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DIVISLAB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DLF,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DMART,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DRREDDY,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
EICHERMOT,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Sep 2024', 'Mar 2016', 'Mar 2019', 'Dec 2014', 'Mar 2024', 'Dec 2013', 'Mar 2017'}"
