id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0
73,ABB,Mar 2014,0.0,0.0,0.0,0.0
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0
208,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0
209,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0
210,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0
211,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0
212,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0
213,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0
214,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0
215,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0
216,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0
217,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0
218,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0
219,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0
220,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0
221,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0
222,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0
223,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0
224,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0
225,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0
226,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0
227,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0
228,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0
229,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0
230,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0
231,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0
