company_id,year
ABB,"{'Mar 2015', 'Mar 2019', 'Mar 2020', 'Mar 2024', 'Dec 2012', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ADANIENSOL,"{'Mar 2015', 'Mar 2019', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ADANIENT,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ADANIGREEN,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ADANIPORTS,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ADANIPOWER,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
AGTL,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
AMBUJACEM,"{'Mar 2024', 'Dec 2013', 'Dec 2012', 'Dec 2014', 'Dec 2015', 'Dec 2018', 'Dec 2021', 'Dec 2019', 'Mar 2023', 'Dec 2016', 'Dec 2020', 'Dec 2017'}"
APOLLOHOSP,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ASIANPAINT,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
