company_id,company_name,broad_sector,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,free_cash_flow_cr,operating_profit_margin_pct,cluster,distance_to_centroid,cluster_name
ABB,Abbott India Ltd,Industrials,32.46823465801568,0.0224384968910516,9.716101277290168,797.0,24.84185330825782,1,0.437094676411952,Value Cyclicals
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.461276797721698,2.93252116130053,17.85124994851739,1095.0,34.38911302462817,1,1.3440616956936586,Value Cyclicals
ADANIENT,Adani Enterprises Ltd,Industrials,8.534650424813185,1.671358378544375,19.01541475308124,-8455.0,11.799296833677312,1,1.3140244600764377,Value Cyclicals
ADANIGREEN,Adani Green Energy Ltd,Energy,12.81269066503966,4.018762111323171,30.5048865351,-13347.0,77.31246648372506,3,2.4477993003670333,High Leverage
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,15.3548827162833,0.937322369168972,19.57867595245697,8250.0,58.36172363445772,0,1.1373662525504034,High Margin Businesses
ADANIPOWER,Adani Power Ltd,Energy,47.22408903146559,0.8023177656738903,16.086096410440966,17651.0,36.20186292228556,1,1.0227862610183724,Value Cyclicals
AMBUJACEM,Ambuja Cements Ltd,Materials,11.428984947896565,0.0168612504824392,4.952158000173124,-3295.0,19.30036188178528,1,0.994297667736637,Value Cyclicals
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,13.480392156862743,0.7688869665513264,14.660042602193135,383.0,12.56099480560365,1,0.5806738013664655,Value Cyclicals
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,29.677488252883386,0.1321016659547202,13.029660349453076,3556.0,21.3692069305536,1,0.3165164638995237,Value Cyclicals
ATGL,Adani Total Gas Ltd,Energy,18.65921787709497,0.4349162011173184,21.08864867789759,8644.0,24.67039106145252,1,1.3503940770464458,Value Cyclicals
AXISBANK,Axis Bank Ltd,Financials,15.832712405189048,4.018762111323171,14.74358712051438,-14556.0,34.69264599658038,3,1.3117668823898498,High Leverage
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,26.61418410330778,0.0660175402251225,8.127604751021389,6486.0,19.53420993982616,1,0.4829372642430073,Value Cyclicals
BAJAJFINSV,Bajaj Finserv Ltd,Financials,25.850351412279537,4.018762111323171,20.97274568418761,-16191.0,37.04045949520755,4,0.9975329114161532,High Leverage
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,13.576787656460263,0.0011613545449517,30.5048865351,1469.0,77.31246648372506,0,2.468711721377528,High Margin Businesses
