id,company_id,Year,Annual_Report
26,ADANIENSOL,2015,Null
27,ADANIENSOL,2014,Null
28,ADANIENSOL,2013,Null
29,ADANIENSOL,2012,Null
30,ADANIENSOL,2011,Null
31,ADANIENSOL,2010,Null
32,ADANIENSOL,2009,Null
56,ADANIGREEN,2017,Null
57,ADANIGREEN,2016,Null
58,ADANIGREEN,2015,Null
59,ADANIGREEN,2014,Null
60,ADANIGREEN,2013,Null
61,ADANIGREEN,2012,Null
62,ADANIGREEN,2011,Null
63,ADANIGREEN,2010,Null
64,ADANIGREEN,2009,Null
70,ADANIPORTS,2019,Null
71,ADANIPORTS,2018,Null
72,ADANIPORTS,2017,Null
74,ADANIPORTS,2015,Null
75,ADANIPORTS,2014,Null
76,ADANIPORTS,2013,Null
77,ADANIPORTS,2012,Null
79,ADANIPORTS,2010,Null
80,ADANIPORTS,2009,Null
90,ADANIPOWER,2015,Null
91,ADANIPOWER,2014,Null
92,ADANIPOWER,2013,Null
94,ADANIPOWER,2011,Null
95,ADANIPOWER,2010,Null
96,ADANIPOWER,2009,Null
107,AMBUJACEM,2014,Null
108,AMBUJACEM,2013,Null
109,AMBUJACEM,2012,Null
111,AMBUJACEM,2010,Null
112,AMBUJACEM,2009,Null
118,APOLLOHOSP,2019,Null
122,APOLLOHOSP,2015,Null
127,APOLLOHOSP,2010,Null
128,APOLLOHOSP,2009,Null
140,ASIANPAINT,2013,Null
141,ASIANPAINT,2012,Null
143,ASIANPAINT,2010,Null
144,ASIANPAINT,2009,Null
151,ATGL,2018,Null
152,ATGL,2017,Null
153,ATGL,2016,Null
154,ATGL,2015,Null
155,ATGL,2014,Null
156,ATGL,2013,Null
157,ATGL,2012,Null
158,ATGL,2011,Null
159,ATGL,2010,Null
160,ATGL,2009,Null
175,AXISBANK,2010,Null
176,AXISBANK,2009,Null
187,BAJAJ-AUTO,2014,Null
191,BAJAJ-AUTO,2010,Null
192,BAJAJ-AUTO,2009,Null
207,BAJAJFINSV,2010,Null
208,BAJAJFINSV,2009,Null
223,BAJAJHLDNG,2010,Null
224,BAJAJHLDNG,2009,Null
239,BAJFINANCE,2010,Null
240,BAJFINANCE,2009,Null
351,BRITANNIA,2010,Null
352,BRITANNIA,2009,Null
367,CANBK,2010,Null
368,CANBK,2009,Null
378,CHOLAFIN,2015,Null
383,CHOLAFIN,2010,Null
384,CHOLAFIN,2009,Null
399,CIPLA,2010,Null
400,CIPLA,2009,Null
415,COALINDIA,2010,Null
431,DABUR,2010,Null
432,DABUR,2009,Null
447,DLF,2010,Null
448,DLF,2009,Null
457,DMART,2016,Null
458,DMART,2015,Null
459,DMART,2014,Null
460,DMART,2013,Null
461,DMART,2012,Null
462,DMART,2011,Null
463,DMART,2010,Null
464,DMART,2009,Null
478,DRREDDY,2011,Null
479,DRREDDY,2010,Null
480,DRREDDY,2009,Null
495,EICHERMOT,2010,Null
496,EICHERMOT,2009,Null
511,GAIL,2010,Null
512,GAIL,2009,Null
527,GODREJCP,2010,Null
528,GODREJCP,2009,Null
543,GRASIM,2010,Null
544,GRASIM,2009,Null
561,HAL,2009,Null
574,HAVELLS,2010,Null
575,HAVELLS,2009,Null
589,HCLTECH,2011,Null
590,HCLTECH,2010,Null
591,HCLTECH,2009,Null
603,HDFCBANK,2013,Null
605,HDFCBANK,2011,Null
606,HDFCBANK,2010,Null
607,HDFCBANK,2009,Null
620,HDFCLIFE,2012,Null
621,HDFCLIFE,2011,Null
622,HDFCLIFE,2010,Null
623,HDFCLIFE,2009,Null
624,HDFCLIFE,2008,Null
640,HEROMOTOCO,2010,Null
641,HEROMOTOCO,2009,Null
656,HINDALCO,2010,Null
657,HINDALCO,2009,Null
672,HINDUNILVR,2010,Null
673,HINDUNILVR,2009,Null
689,ICICIBANK,2009,Null
705,ICICIGI,2009,Null
719,ICICIPRULI,2011,Null
720,ICICIPRULI,2010,Null
721,ICICIPRULI,2009,Null
731,INDIGO,2015,Null
732,INDIGO,2014,Null
733,INDIGO,2013,Null
734,INDIGO,2012,Null
735,INDIGO,2011,Null
736,INDIGO,2010,Null
737,INDIGO,2009,Null
752,INDUSINDBK,2010,Null
753,INDUSINDBK,2009,Null
768,INFY,2010,Null
769,INFY,2009,Null
770,IOC,2024,bseindia.com/xml-data/corpfiling/AttachHis/24a0940c-fa5a-4e36-a404-9dab3637ea0c.pdf
771,IOC,2023,bseindia.com/xml-data/corpfiling/AttachHis//ae413f27-7b30-4cdb-8f1b-8d82e5914e54.pdf
784,IOC,2010,Null
785,IOC,2009,Null
791,IRCTC,2019,Null
792,IRCTC,2018,Null
793,IRCTC,2017,Null
794,IRCTC,2016,Null
795,IRCTC,2015,Null
796,IRCTC,2014,Null
797,IRCTC,2013,Null
798,IRCTC,2012,Null
799,IRCTC,2011,Null
800,IRCTC,2010,Null
801,IRCTC,2009,Null
806,IRFC,2020,Null
807,IRFC,2019,Null
808,IRFC,2018,Null
809,IRFC,2017,Null
810,IRFC,2016,Null
811,IRFC,2015,Null
812,IRFC,2014,Null
813,IRFC,2013,Null
814,IRFC,2012,Null
815,IRFC,2011,Null
816,IRFC,2010,Null
817,IRFC,2009,Null
851,JIOFIN,2023,Null
852,JIOFIN,2022,Null
853,JIOFIN,2021,Null
854,JIOFIN,2020,Null
855,JIOFIN,2019,Null
856,JIOFIN,2018,Null
857,JIOFIN,2017,Null
858,JIOFIN,2016,Null
859,JIOFIN,2015,Null
860,JIOFIN,2014,Null
861,JIOFIN,2013,Null
862,JIOFIN,2012,Null
863,JIOFIN,2011,Null
864,JIOFIN,2010,Null
865,JIOFIN,2009,Null
879,JSWENERGY,2011,Null
880,JSWENERGY,2010,Null
881,JSWENERGY,2009,Null
896,JSWSTEEL,2010,Null
897,JSWSTEEL,2009,Null
899,KOTAKBANK,2023,bseindia.com/xml-data/corpfiling/AttachHis//b9e0c871-3353-4ef4-855e-069bcfd848e1.pdf
900,KOTAKBANK,2022,bseindia.com/bseplus/AnnualReport/500247/73932500247.pdf
901,KOTAKBANK,2021,bseindia.com/bseplus/AnnualReport/500247/69160500247.pdf
905,KOTAKBANK,2017,bseindia.com/bseplus/AnnualReport/500247/5002470317.pdf
906,KOTAKBANK,2016,5002470316.pdf
907,KOTAKBANK,2015,5002470315.pdf
909,KOTAKBANK,2013,untitled
910,KOTAKBANK,2012,bseindia.com/bseplus/AnnualReport/500247/5002470312.pdf
911,KOTAKBANK,2011,5002470311.pdf
912,KOTAKBANK,2010,Null
913,KOTAKBANK,2009,Null
920,LICI,2018,Null
921,LICI,2017,Null
922,LICI,2016,Null
923,LICI,2015,Null
924,LICI,2014,Null
925,LICI,2013,Null
926,LICI,2012,Null
927,LICI,2011,Null
928,LICI,2010,Null
929,LICI,2009,Null
934,LODHA,2020,Null
935,LODHA,2019,Null
936,LODHA,2018,Null
937,LODHA,2017,Null
938,LODHA,2016,Null
939,LODHA,2015,Null
940,LODHA,2014,Null
941,LODHA,2013,Null
942,LODHA,2012,Null
943,LODHA,2011,Null
944,LODHA,2010,Null
945,LODHA,2009,Null
960,LT,2010,Null
961,LT,2009,Null
970,LTIM,2016,Null
971,LTIM,2015,Null
972,LTIM,2014,Null
973,LTIM,2013,Null
974,LTIM,2012,Null
975,LTIM,2011,Null
976,LTIM,2010,Null
977,LTIM,2009,Null
992,M&M,2010,Null
993,M&M,2009,Null
1008,MARUTI,2010,Null
1009,MARUTI,2009,Null
1024,MOTHERSON,2010,Null
1025,MOTHERSON,2009,Null
1040,NAUKRI,2010,Null
1041,NAUKRI,2009,Null
1072,NHPC,2010,Null
1073,NHPC,2009,Null
1088,NTPC,2010,Null
1089,NTPC,2009,Null
1103,ONGC,2011,Null
1104,ONGC,2010,Null
1105,ONGC,2009,Null
1120,PFC,2010,Null
1121,PFC,2009,Null
1135,PIDILITIND,2011,Null
1136,PIDILITIND,2010,Null
1137,PIDILITIND,2009,Null
1152,PNB,2010,Null
1153,PNB,2009,Null
1168,POWERGRID,2010,Null
1169,POWERGRID,2009,Null
1183,RECLTD,2011,Null
1184,RECLTD,2010,Null
1185,RECLTD,2009,Null
1199,RELIANCE,2011,Null
1200,RELIANCE,2010,Null
1201,RELIANCE,2009,Null
1209,SBILIFE,2017,Null
1210,SBILIFE,2016,Null
1211,SBILIFE,2015,Null
1212,SBILIFE,2014,Null
1213,SBILIFE,2013,Null
1214,SBILIFE,2012,Null
1215,SBILIFE,2011,Null
1216,SBILIFE,2010,Null
1217,SBILIFE,2009,Null
1233,SBIN,2009,Null
1247,SHREECEM,2011,Null
1248,SHREECEM,2010,Null
1249,SHREECEM,2009,Null
1263,SHRIRAMFIN,2011,Null
1264,SHRIRAMFIN,2010,Null
1265,SHRIRAMFIN,2009,Null
1280,SIEMENS,2010,Null
1281,SIEMENS,2009,Null
1312,TATACONSUM,2010,Null
1313,TATACONSUM,2009,Null
1328,TATAMOTORS,2010,Null
1329,TATAMOTORS,2009,Null
1344,TATAPOWER,2010,Null
1345,TATAPOWER,2009,Null
1360,TATASTEEL,2010,Null
1361,TATASTEEL,2009,Null
1376,TCS,2010,Null
1377,TCS,2009,Null
1390,TECHM,2012,Null
1391,TECHM,2011,Null
1392,TECHM,2010,Null
1393,TECHM,2009,Null
1407,TITAN,2011,Null
1408,TITAN,2010,Null
1409,TITAN,2009,Null
1424,TORNTPHARM,2010,Null
1425,TORNTPHARM,2009,Null
1440,TRENT,2010,Null
1441,TRENT,2009,Null
1456,TVSMOTOR,2010,Null
1457,TVSMOTOR,2009,Null
1471,ULTRACEMCO,2011,Null
1472,ULTRACEMCO,2010,Null
1473,ULTRACEMCO,2009,Null
1488,UNIONBANK,2010,Null
1489,UNIONBANK,2009,Null
1503,UNITDSPR,2011,Null
1504,UNITDSPR,2010,Null
1505,UNITDSPR,2009,Null
1506,VBL,2024,Null
1515,VBL,2015,Null
1516,VBL,2014,Null
1517,VBL,2013,Null
1518,VBL,2012,Null
1519,VBL,2011,Null
1520,VBL,2010,Null
1521,VBL,2009,Null
1536,VEDL,2010,Null
1537,VEDL,2009,Null
1552,WIPRO,2010,Null
1553,WIPRO,2009,Null
1557,ZOMATO,2021,Null
1558,ZOMATO,2020,Null
1559,ZOMATO,2019,Null
1560,ZOMATO,2018,Null
1561,ZOMATO,2017,Null
1562,ZOMATO,2016,Null
1563,ZOMATO,2015,Null
1564,ZOMATO,2014,Null
1565,ZOMATO,2013,Null
1566,ZOMATO,2012,Null
1567,ZOMATO,2011,Null
1568,ZOMATO,2010,Null
1569,ZOMATO,2009,Null
1584,ZYDUSLIFE,2010,Null
1585,ZYDUSLIFE,2009,Null
