id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0
111,ADANIGREEN,Mar 2017,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0
114,ADANIGREEN,Mar 2020,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0
881,M&M,Mar 2020,75382,65224,10158.0,13.0,885,6021,3367,1655,99.0,-321,1.0,205.0
915,NAUKRI,Mar 2015,732,711,21.0,3.0,89,4,47,60,99.0,-14,2.0,150.0
1073,SBIN,Mar 2017,230447,145666,-64334.0,-28.0,68193,149115,2915,945,99.0,-97,0.0,859.0
1136,TATACONSUM,Mar 2016,6637,6271,366.0,6.0,38,117,117,170,99.0,-37,0.0,-999.0
1175,TATASTEEL,Mar 2016,101965,102590,-625.0,-1.0,10346,4221,5306,193,99.0,-497,0.0,-203.0
1303,VBL,Dec 2013,2115,1824,291.0,14.0,19,171,184,-46,-11.0,-40,0.0,0.0
1304,VBL,Dec 2014,2502,2116,387.0,15.0,14,187,210,4,99.0,-20,0.0,0.0
