company_id,year
ABB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2017'}"
ADANIENSOL,"{'Mar 2018', 'Mar 2017', 'Mar 2015', 'Mar 2014', 'Mar 2020', 'Mar 2021', 'Mar 2022', 'Mar 2023', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2016'}"
ADANIGREEN,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2017'}"
AMBUJACEM,"{'Mar 2023 15', 'Dec 2016', 'Dec 2019', 'Dec 2012', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Dec 2017', 'Dec 2021', 'TTM', 'Dec 2014', 'Mar 2024', 'Dec 2013'}"
ATGL,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'TTM', 'Mar 2024'}"
BAJFINANCE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2017'}"
BOSCHLTD,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'TTM', 'Mar 2024', 'Dec 2013', 'Mar 2017'}"
EICHERMOT,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'TTM', 'Dec 2014', 'Mar 2024', 'Dec 2013', 'Mar 2017'}"
HCLTECH,"{'Mar 2018', 'Jun 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Jun 2013', 'Jun 2014', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2016 9m', 'Mar 2017'}"
HEROMOTOCO,"{'Mar 2018', 'Mar 2017', 'Mar 2015', 'Mar 2014', 'Mar 2020', 'Mar 2021', 'Mar 2022', 'Mar 2023', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2016'}"
IRCTC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2017'}"
JIOFIN,"{'Mar 2024', 'TTM', 'Mar 2023'}"
LICI,"{'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'TTM', 'Mar 2024'}"
LODHA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2011', 'Mar 2022', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2012', 'Mar 2017'}"
NESTLEIND,"{'Dec 2022', 'Dec 2023', 'Dec 2016', 'Dec 2019', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Dec 2017', 'Dec 2021', 'TTM', 'Dec 2014', 'Mar 2024', 'Dec 2013'}"
SHREECEM,"{'Mar 2018', 'Jun 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Jun 2013', 'Jun 2014', 'Mar 2019', 'TTM', 'Mar 2024', 'Mar 2016 9m', 'Mar 2017'}"
SIEMENS,"{'Sep 2023', 'Sep 2014', 'Sep 2019', 'Sep 2016', 'Sep 2011', 'Sep 2018', 'Sep 2021', 'Sep 2022', 'Sep 2024', 'Sep 2017', 'Sep 2015', 'Sep 2020'}"
VBL,"{'Dec 2022', 'Dec 2023', 'Dec 2016', 'Dec 2019', 'Dec 2012', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Dec 2017', 'Dec 2021', 'TTM', 'Dec 2014', 'Dec 2013'}"
ZOMATO,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'TTM', 'Mar 2024'}"
