Company,Year,Computed ROCE,Source ROCE,Difference,Category
Abbott India Ltd,Dec 2012,34.16,46.0,11.84,Version difference
Abbott India Ltd,Mar 2014,36.68,46.0,9.32,Formula discrepancy
Abbott India Ltd,Mar 2015,34.9,46.0,11.1,Version difference
Abbott India Ltd,Mar 2016,31.72,46.0,14.28,Version difference
Abbott India Ltd,Mar 2017,29.85,46.0,16.15,Version difference
Abbott India Ltd,Mar 2018,31.96,46.0,14.04,Version difference
Abbott India Ltd,Mar 2019,30.98,46.0,15.02,Version difference
Abbott India Ltd,Mar 2020,31.35,46.0,14.65,Version difference
Abbott India Ltd,Mar 2021,35.57,46.0,10.43,Version difference
Abbott India Ltd,Mar 2022,38.63,46.0,7.37,Formula discrepancy
Abbott India Ltd,Mar 2023,38.65,46.0,7.35,Formula discrepancy
Abbott India Ltd,Mar 2024,40.3,46.0,5.7,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2014,0.0,9.0,9.0,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2015,1.28,9.0,7.72,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2016,22.09,9.0,13.09,Version difference
Adani Energy Solutions Ltd,Mar 2017,21.41,9.0,12.41,Version difference
Adani Energy Solutions Ltd,Mar 2018,20.66,9.0,11.66,Version difference
Adani Energy Solutions Ltd,Mar 2020,16.59,9.0,7.59,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2021,14.66,9.0,5.66,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2022,14.15,9.0,5.15,Formula discrepancy
Adani Energy Solutions Ltd,Mar 2024,15.06,9.0,6.06,Formula discrepancy
Adani Enterprises Ltd,Mar 2016,6.14,11.6,5.46,Formula discrepancy
Adani Enterprises Ltd,Mar 2017,6.34,11.6,5.26,Formula discrepancy
Adani Green Energy Ltd,Mar 2017,13.26,96.5,83.24,Data source issue
Adani Green Energy Ltd,Mar 2018,12.37,96.5,84.13,Data source issue
Adani Green Energy Ltd,Mar 2019,19.79,96.5,76.71,Data source issue
Adani Green Energy Ltd,Mar 2020,10.71,96.5,85.79,Data source issue
Adani Green Energy Ltd,Mar 2021,10.33,96.5,86.17,Data source issue
Adani Green Energy Ltd,Mar 2022,7.87,96.5,88.63,Data source issue
Adani Green Energy Ltd,Mar 2023,10.19,96.5,86.31,Data source issue
Adani Green Energy Ltd,Mar 2024,12.35,96.5,84.15,Data source issue
"Adani Ports & Special Economic Zone Ltd
",Mar 2018,19.28,12.9,6.38,Formula discrepancy
"Adani Ports & Special Economic Zone Ltd
",Mar 2024,19.05,12.9,6.15,Formula discrepancy
"Adani Ports & Special Economic Zone Ltd
",Mar 2018,19.28,12.9,6.38,Formula discrepancy
"Adani Ports & Special Economic Zone Ltd
",Mar 2024,19.05,12.9,6.15,Formula discrepancy
Adani Power Ltd,Mar 2013,4.88,32.2,27.32,Data source issue
Adani Power Ltd,Mar 2014,12.88,32.2,19.32,Version difference
Adani Power Ltd,Mar 2015,12.87,32.2,19.33,Version difference
Adani Power Ltd,Mar 2016,19.05,32.2,13.15,Version difference
Adani Power Ltd,Mar 2017,15.59,32.2,16.61,Version difference
Adani Power Ltd,Mar 2018,15.14,32.2,17.06,Version difference
Adani Power Ltd,Mar 2019,14.14,32.2,18.06,Version difference
Adani Power Ltd,Mar 2020,14.17,32.2,18.03,Version difference
Adani Power Ltd,Mar 2021,18.12,32.2,14.08,Version difference
Adani Power Ltd,Mar 2022,19.23,32.2,12.97,Version difference
Adani Power Ltd,Mar 2023,18.55,32.2,13.65,Version difference
Ambuja Cements Ltd,Dec 2012,34.35,12.8,21.55,Data source issue
Ambuja Cements Ltd,Dec 2013,22.74,12.8,9.94,Formula discrepancy
Ambuja Cements Ltd,Dec 2014,24.22,12.8,11.42,Version difference
Ambuja Cements Ltd,Dec 2015,21.08,12.8,8.28,Formula discrepancy
Ambuja Cements Ltd,Dec 2016,23.39,12.8,10.59,Version difference
Ambuja Cements Ltd,Dec 2017,24.53,12.8,11.73,Version difference
Ambuja Cements Ltd,Dec 2018,23.05,12.8,10.25,Version difference
Ambuja Cements Ltd,Dec 2019,23.84,12.8,11.04,Version difference
Ambuja Cements Ltd,Dec 2020,26.55,12.8,13.75,Version difference
Ambuja Cements Ltd,Dec 2021,28.5,12.8,15.7,Version difference
Ambuja Cements Ltd,Mar 2024,19.03,12.8,6.23,Formula discrepancy
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2020,31.88,17.2,14.68,Version difference
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2022,28.79,17.2,11.59,Version difference
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2023,25.45,17.2,8.25,Formula discrepancy
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2024,25.11,17.2,7.91,Formula discrepancy
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2013,52.05,41.75,10.3,Version difference
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2013,52.05,41.75,10.3,Version difference
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2014,52.47,41.75,10.72,Version difference
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2014,52.47,41.75,10.72,Version difference
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2015,48.62,41.75,6.87,Formula discrepancy
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2015,48.62,41.75,6.87,Formula discrepancy
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2022,36.5,41.75,5.25,Formula discrepancy
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2022,36.5,41.75,5.25,Formula discrepancy
Adani Total Gas Ltd,Mar 2019,34.89,21.2,13.69,Version difference
Adani Total Gas Ltd,Mar 2020,34.02,21.2,12.82,Version difference
Adani Total Gas Ltd,Mar 2021,31.14,21.2,9.94,Formula discrepancy
Bajaj Auto Ltd,Mar 2013,46.74,33.5,13.24,Version difference
Bajaj Auto Ltd,Mar 2014,42.48,33.5,8.98,Formula discrepancy
Bajaj Auto Ltd,Mar 2015,39.22,33.5,5.72,Formula discrepancy
Bajaj Auto Ltd,Mar 2017,26.35,33.5,7.15,Formula discrepancy
Bajaj Auto Ltd,Mar 2018,25.12,33.5,8.38,Formula discrepancy
Bajaj Auto Ltd,Mar 2019,23.39,33.5,10.11,Version difference
Bajaj Auto Ltd,Mar 2020,24.58,33.5,8.92,Formula discrepancy
Bajaj Auto Ltd,Mar 2021,18.97,33.5,14.53,Version difference
Bajaj Auto Ltd,Mar 2022,18.44,33.5,15.06,Version difference
Bajaj Auto Ltd,Mar 2023,22.9,33.5,10.6,Version difference
Bajaj Finserv Ltd,Mar 2014,15.69,21.14,5.45,Formula discrepancy
Bajaj Finserv Ltd,Mar 2015,14.84,21.14,6.3,Formula discrepancy
Bajaj Finserv Ltd,Mar 2016,13.69,21.14,7.45,Formula discrepancy
Bajaj Finserv Ltd,Mar 2017,13.64,21.14,7.5,Formula discrepancy
Bajaj Finserv Ltd,Mar 2018,12.7,21.14,8.44,Formula discrepancy
Bajaj Finserv Ltd,Mar 2019,12.36,21.14,8.78,Formula discrepancy
Bajaj Finserv Ltd,Mar 2020,11.81,21.14,9.33,Formula discrepancy
Bajaj Finserv Ltd,Mar 2021,12.26,21.14,8.88,Formula discrepancy
Bajaj Finserv Ltd,Mar 2022,10.93,21.14,10.21,Version difference
Bajaj Finserv Ltd,Mar 2023,11.81,21.14,9.33,Formula discrepancy
Bajaj Finserv Ltd,Mar 2024,11.96,21.14,9.18,Formula discrepancy
Bajaj Holdings & Investment Ltd,Mar 2013,3.13,13.1,9.97,Formula discrepancy
Bajaj Holdings & Investment Ltd,Mar 2014,3.38,13.1,9.72,Formula discrepancy
Bajaj Holdings & Investment Ltd,Mar 2015,3.66,13.1,9.44,Formula discrepancy
Bajaj Holdings & Investment Ltd,Mar 2016,2.84,13.1,10.26,Version difference
