Company,Year,Computed ROE,Source ROE,Difference
Abbott India Ltd,Dec 2012,22.41,34.9,12.49
Abbott India Ltd,Mar 2014,25.13,34.9,9.77
Abbott India Ltd,Mar 2015,24.44,34.9,10.46
Abbott India Ltd,Mar 2016,21.34,34.9,13.56
Abbott India Ltd,Mar 2017,19.97,34.9,14.93
Abbott India Ltd,Mar 2018,23.69,34.9,11.21
Abbott India Ltd,Mar 2019,22.41,34.9,12.49
Abbott India Ltd,Mar 2020,24.39,34.9,10.51
Abbott India Ltd,Mar 2021,26.56,34.9,8.34
Abbott India Ltd,Mar 2022,28.33,34.9,6.57
Abbott India Ltd,Mar 2023,29.77,34.9,5.13
Adani Energy Solutions Ltd,Mar 2014,0.0,8.59,8.59
Adani Energy Solutions Ltd,Mar 2015,-0.65,8.59,9.24
Adani Energy Solutions Ltd,Mar 2016,13.77,8.59,5.18
Adani Energy Solutions Ltd,Mar 2017,14.12,8.59,5.53
Adani Energy Solutions Ltd,Mar 2018,18.87,8.59,10.28
Adani Energy Solutions Ltd,Mar 2021,14.46,8.59,5.87
Adani Enterprises Ltd,Mar 2013,5.69,13.64,7.95
Adani Enterprises Ltd,Mar 2016,7.47,13.64,6.17
Adani Enterprises Ltd,Mar 2017,6.54,13.64,7.1
Adani Enterprises Ltd,Mar 2018,3.94,13.64,9.7
Adani Enterprises Ltd,Mar 2019,3.43,13.64,10.21
Adani Enterprises Ltd,Mar 2020,6.14,13.64,7.5
Adani Enterprises Ltd,Mar 2021,6.1,13.64,7.54
Adani Enterprises Ltd,Mar 2022,3.54,13.64,10.1
Adani Enterprises Ltd,Mar 2023,7.33,13.64,6.31
Adani Enterprises Ltd,Mar 2024,8.53,13.64,5.11
Adani Green Energy Ltd,Mar 2017,-3.91,14.7,18.61
Adani Green Energy Ltd,Mar 2018,-10.29,14.7,24.99
Adani Green Energy Ltd,Mar 2019,-24.57,14.7,39.27
Adani Green Energy Ltd,Mar 2020,-2.89,14.7,17.59
Adani Green Energy Ltd,Mar 2021,8.27,14.7,6.43
"Adani Ports & Special Economic Zone Ltd
",Mar 2013,25.63,18.1,7.53
"Adani Ports & Special Economic Zone Ltd
",Mar 2022,11.84,18.1,6.26
"Adani Ports & Special Economic Zone Ltd
",Mar 2023,11.88,18.1,6.22
"Adani Ports & Special Economic Zone Ltd
",Mar 2013,25.63,18.1,7.53
"Adani Ports & Special Economic Zone Ltd
",Mar 2022,11.84,18.1,6.26
"Adani Ports & Special Economic Zone Ltd
",Mar 2023,11.88,18.1,6.22
Adani Power Ltd,Mar 2013,-53.46,57.1,110.56
Adani Power Ltd,Mar 2014,-4.45,57.1,61.55
Adani Power Ltd,Mar 2015,-14.25,57.1,71.35
Adani Power Ltd,Mar 2016,7.38,57.1,49.72
Adani Power Ltd,Mar 2017,-205.8,57.1,262.9
Adani Power Ltd,Mar 2018,-236.56,57.1,293.66
Adani Power Ltd,Mar 2019,-12.76,57.1,69.86
Adani Power Ltd,Mar 2020,-35.1,57.1,92.2
Adani Power Ltd,Mar 2021,9.69,57.1,47.41
Adani Power Ltd,Mar 2022,26.61,57.1,30.49
Adani Power Ltd,Mar 2023,35.91,57.1,21.19
Adani Power Ltd,Mar 2024,48.28,57.1,8.82
Ambuja Cements Ltd,Dec 2012,14.69,9.24,5.45
Ambuja Cements Ltd,Dec 2014,14.77,9.24,5.53
Ambuja Cements Ltd,Dec 2021,14.64,9.24,5.4
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2016,7.05,13.81,6.76
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2017,3.95,13.81,9.86
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2018,1.85,13.81,11.96
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2019,6.0,13.81,7.81
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2021,2.98,13.81,10.83
"Apollo Hospitals
Chain of Indian private hospitals",Mar 2022,19.7,13.81,5.89
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2018,24.95,31.45,6.5
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2018,24.95,31.45,6.5
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2019,23.31,31.45,8.14
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2019,23.31,31.45,8.14
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2021,25.04,31.45,6.41
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2021,25.04,31.45,6.41
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2022,22.34,31.45,9.11
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2022,22.34,31.45,9.11
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2023,26.23,31.45,5.22
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2023,26.23,31.45,5.22
Adani Total Gas Ltd,Mar 2020,29.64,20.5,9.14
Bajaj Auto Ltd,Mar 2013,38.85,26.5,12.35
Bajaj Auto Ltd,Mar 2014,33.24,26.5,6.74
Bajaj Auto Ltd,Mar 2018,20.66,26.5,5.84
Bajaj Auto Ltd,Mar 2019,21.21,26.5,5.29
Bajaj Auto Ltd,Mar 2021,17.81,26.5,8.69
Bajaj Auto Ltd,Mar 2022,20.65,26.5,5.85
Bajaj Auto Ltd,Mar 2023,20.64,26.5,5.86
Axis Bank Ltd,Mar 2017,6.53,18.4,11.87
Axis Bank Ltd,Mar 2018,0.43,18.4,17.97
Axis Bank Ltd,Mar 2019,6.9,18.4,11.5
Axis Bank Ltd,Mar 2020,1.88,18.4,16.52
Axis Bank Ltd,Mar 2021,6.36,18.4,12.04
Axis Bank Ltd,Mar 2022,11.01,18.4,7.39
Axis Bank Ltd,Mar 2023,7.38,18.4,11.02
Bajaj Finserv Ltd,Mar 2013,28.38,11.72,16.66
Bajaj Finserv Ltd,Mar 2014,23.53,11.72,11.81
Bajaj Finserv Ltd,Mar 2015,21.72,11.72,10.0
Bajaj Finserv Ltd,Mar 2016,20.41,11.72,8.69
Bajaj Finserv Ltd,Mar 2017,21.36,11.72,9.64
Bajaj Finserv Ltd,Mar 2018,20.39,11.72,8.67
Bajaj Finserv Ltd,Mar 2019,22.64,11.72,10.92
Bajaj Finserv Ltd,Mar 2020,19.15,11.72,7.43
Bajaj Finserv Ltd,Mar 2021,20.56,11.72,8.84
Bajaj Finserv Ltd,Mar 2022,20.66,11.72,8.94
Bajaj Finserv Ltd,Mar 2023,26.31,11.72,14.59
Bajaj Finserv Ltd,Mar 2024,25.85,11.72,14.13
Bajaj Holdings & Investment Ltd,Mar 2022,9.63,14.8,5.17
Bajaj Finance Ltd,Mar 2018,15.75,22.1,6.35
Bajaj Finance Ltd,Mar 2020,16.28,22.1,5.82
Bajaj Finance Ltd,Mar 2021,11.97,22.1,10.13
Bajaj Finance Ltd,Mar 2022,16.08,22.1,6.02
Bank of Baroda,Mar 2015,9.4,16.7,7.3
Bank of Baroda,Mar 2016,-11.84,16.7,28.54
Bank of Baroda,Mar 2017,4.31,16.7,12.39
Bank of Baroda,Mar 2018,-3.94,16.7,20.64
Bank of Baroda,Mar 2019,2.12,16.7,14.58
Bank of Baroda,Mar 2020,1.29,16.7,15.41
Bank of Baroda,Mar 2021,1.97,16.7,14.73
Bank of Baroda,Mar 2022,8.64,16.7,8.06
Bharti Airtel Ltd,Mar 2013,4.5,14.9,10.4
Bharti Airtel Ltd,Mar 2014,5.05,14.9,9.85
Bharti Airtel Ltd,Mar 2017,6.29,14.9,8.61
Bharti Airtel Ltd,Mar 2018,3.14,14.9,11.76
Bharti Airtel Ltd,Mar 2019,2.36,14.9,12.54
Bharti Airtel Ltd,Mar 2020,-39.75,14.9,54.65
Bharti Airtel Ltd,Mar 2021,-20.97,14.9,35.87
